##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	7_2E_fox_S6_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	5278425
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1107	92-93	-0.4533078329323885
1107	94-95	-0.30356783800265674
1107	96-97	-0.31928716166979854
1107	98-99	-0.07565184519187085
1107	100-101	-0.002430668885757825
1108	1	-0.9414793388010985
1108	2	-0.5122757766886146
1108	3	-1.2690331503988688
1108	4	-0.9481444101764893
1108	5	-0.5433297973083597
1108	6	-0.9460511055643366
1108	7	-1.0819892793341452
1108	8	-0.9153640083180505
1108	9	-0.6485395533161409
1108	10-11	-0.9678434261496136
1108	12-13	-1.1095154087578294
1108	14-15	-1.3524566680431391
1108	16-17	-0.563624181246837
1108	18-19	-0.02200746813846166
1108	20-21	0.1728406660394768
1108	22-23	-0.07924271517423165
1108	24-25	0.19436824903782934
1108	26-27	0.19176456231370054
1108	28-29	0.05473849534563868
1108	30-31	0.12501176002579228
1108	32-33	0.24093578843174157
1108	34-35	-0.00619067623498637
1108	36-37	0.12437607950118235
1108	38-39	-0.0841189765309096
1108	40-41	-0.050649458098469324
1108	42-43	0.05724759135358681
1108	44-45	0.10556485632739765
1108	46-47	0.0902167037326791
1108	48-49	0.2934200767302144
1108	50-51	0.18151424482182676
1108	52-53	0.2315974235348719
1108	54-55	0.3301561005760618
1108	56-57	0.18409178302661644
1108	58-59	0.2802371452054899
1108	60-61	0.3153032072114925
1108	62-63	0.2760875882706344
1108	64-65	0.1993617277144537
1108	66-67	0.3033595765947865
1108	68-69	0.311636174641464
1108	70-71	0.08749712267147203
1108	72-73	0.20064942141168274
1108	74-75	0.18405759350167017
1108	76-77	0.35869084666737905
1108	78-79	0.23472860651568794
1108	80-81	0.3023316415112163
1108	82-83	0.31423488671754995
1108	84-85	0.24896007981352852
1108	86-87	0.31561423990716264
1108	88-89	0.17132365495712065
1108	90-91	0.056927803051777914
1108	92-93	0.09269059401083979
1108	94-95	0.1679415576469907
1108	96-97	0.1996626859868158
1108	98-99	0.3404206560884404
1108	100-101	0.4033413454131036
1109	1	-0.4555816000401407
1109	2	-0.34256693559512996
1109	3	-1.4262233935041237
1109	4	-1.2963286709871369
1109	5	-0.7013028236245447
1109	6	-1.3592274787852006
1109	7	-0.8210853465414516
1109	8	-1.1569529031205477
1109	9	-0.7968759546341317
1109	10-11	-0.8732282244911787
1109	12-13	-0.945518384605478
1109	14-15	-0.7954407435965081
1109	16-17	-0.5554171845465703
1109	18-19	-0.295465175425349
1109	20-21	0.03312937445734576
1109	22-23	-0.08384704432562984
1109	24-25	0.06615490700445292
1109	26-27	-0.006477087059259645
1109	28-29	-0.17710860518212002
1109	30-31	-0.03777900664149314
1109	32-33	0.04290257045191481
1109	34-35	-0.18933660355423143
1109	36-37	-0.21590874593901077
1109	38-39	-0.3786632615057002
1109	40-41	-0.36888537412477973
1109	42-43	-0.09040301643286597
1109	44-45	0.02007812749070581
1109	46-47	0.05112123834030058
1109	48-49	0.07850775141652377
1109	50-51	0.09547257481763438
1109	52-53	0.01642220681581108
1109	54-55	0.19052196420972223
1109	56-57	-0.06880125149119465
1109	58-59	0.057593108644638846
1109	60-61	-0.1625450874526777
1109	62-63	-0.16069766645008343
1109	64-65	-0.07591541017583836
1109	66-67	0.11115455469507651
1109	68-69	0.04676371744724861
1109	70-71	0.0704193740322765
1109	72-73	0.01406530849492782
1109	74-75	0.04005635749249592
1109	76-77	0.28146328595124714
1109	78-79	0.3130518094391235
1109	80-81	0.0308298539089904
1109	82-83	-0.007072934240305528
1109	84-85	-0.09457715265324396
1109	86-87	0.017367521726832535
1109	88-89	-0.0662308124718507
1109	90-91	-0.09120442619698821
1109	92-93	0.058285385921472255
1109	94-95	0.09888212994925283
1109	96-97	0.08697979252509214
1109	98-99	0.26994584022049395
1109	100-101	0.236640773680449
1110	1	-0.5254706781306062
1110	2	-0.19165595001167546
1110	3	-0.8931640152555502
1110	4	-0.6802173578535715
1110	5	-0.4659826210724063
1110	6	-1.243842035730303
1110	7	-0.7108568173816749
1110	8	-0.7635661474226865
1110	9	-0.3870089392207845
1110	10-11	-0.31696875578520434
1110	12-13	-0.2100454404424923
1110	14-15	-0.1962412368167321
1110	16-17	-0.22475240058414414
1110	18-19	-0.18117153799569508
1110	20-21	0.01841065464008551
1110	22-23	-0.15745096094563849
1110	24-25	-0.0395430457231285
1110	26-27	0.1904710285906006
1110	28-29	-0.07585870967346153
1110	30-31	-0.0599305830027177
1110	32-33	-0.057816182634127244
1110	34-35	-0.1518097121660631
1110	36-37	-0.26358592168050876
1110	38-39	-0.29604097820180897
1110	40-41	-0.20633854778760963
1110	42-43	0.1627127839856044
1110	44-45	0.1279049453717036
1110	46-47	0.1954708410205086
1110	48-49	0.1728658081574821
1110	50-51	0.1613006084831099
1110	52-53	-0.11280873475178765
1110	54-55	0.22333909097872606
1110	56-57	0.1945697983936583
1110	58-59	0.14714890091858024
1110	60-61	0.17955419796336258
1110	62-63	0.22897231354864545
1110	64-65	0.20502667329638058
1110	66-67	0.2913090734484598
